Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Connor Wong,28,C,1.5,126,487,447,54,125,24,1,13,52,8,7,28,114,.280,.333,.425,.758,113,.327,107,190,7,9,1,2,1,23DH/47,,wongco01
2,Dominic Smith*,29,1B,0.0,84,278,249,29,59,20,0,6,34,1,1,25,65,.237,.317,.390,.706,99,.314,96,97,7,4,0,0,0,3H/D1,,smithdo02
3,Enmanuel Valdéz*,25,2B,-0.6,76,223,201,23,43,12,0,6,28,1,1,17,53,.214,.270,.363,.633,77,.277,70,73,4,0,1,4,0,4H/D57,,valdeen01
4,Ceddanne Rafaela,23,SS,2.8,152,571,544,70,134,23,5,15,75,19,10,15,151,.246,.274,.390,.664,85,.299,85,212,8,7,2,3,1,864/5H9,,rafaece01
5,Rafael Devers*,27,3B,3.7,138,601,525,87,143,34,5,28,83,3,0,67,147,.272,.354,.516,.871,142,.368,134,271,13,3,0,6,14,*5/D,ASMVP-13,deverra01
6,Tyler O'Neill,29,LF,2.6,113,473,411,74,99,18,0,31,61,4,0,53,159,.241,.336,.511,.847,135,.365,131,210,13,7,0,2,5,79D/H,,oneilty01
7,Jarren Duran*,27,CF,8.7,160,735,671,111,191,48,14,21,75,34,7,54,160,.285,.342,.492,.834,132,.373,134,330,6,6,1,3,1,*87,ASMVP-8,duranja01
8,Wilyer Abreu*,25,RF,3.4,132,447,399,59,101,33,2,15,58,8,3,40,125,.253,.322,.459,.781,118,.339,112,183,7,3,0,5,0,*9H/78D,ROY-6GG,abreuwi02
9,Masataka Yoshida*,30,DH,1.4,108,421,378,45,106,21,0,10,56,2,0,27,52,.280,.349,.415,.765,116,.341,114,157,6,14,0,2,0,DH/7,,yoshima02
10,David Hamilton*,26,MI,2.6,98,317,294,47,73,17,1,8,28,33,4,22,80,.248,.303,.395,.697,96,.331,95,116,1,1,0,0,0,64H,,hamilda03
11,Rob Refsnyder,33,OF,0.8,93,307,272,32,77,16,1,11,40,2,2,28,78,.283,.359,.471,.830,133,.354,126,128,6,5,0,1,2,79HD,,refsnro01
12,Triston Casas*,24,1B,0.6,63,243,212,28,51,8,0,13,32,0,1,30,77,.241,.337,.462,.800,124,.340,116,98,6,1,0,0,4,3/HD,,casastr01
13,Romy González,27,IF,0.9,89,216,199,25,53,10,1,6,29,11,3,12,58,.266,.306,.417,.723,102,.326,100,83,5,1,0,4,0,H4635/97D8,,gonzaro01
14,Reese McGuire*,29,C,0.1,53,158,139,10,29,3,0,3,18,3,0,13,39,.209,.280,.295,.575,63,.269,60,41,4,2,1,3,0,2/HD,,mcguire01
15,Vaughn Grissom,23,2B,-0.2,31,114,105,10,20,3,0,0,6,2,0,7,24,.190,.246,.219,.465,33,.234,35,23,3,1,0,1,0,4/DH,,grissva01
16,Trevor Story,31,SS,0.7,26,106,94,8,24,7,0,2,10,6,3,11,33,.255,.340,.394,.733,107,.325,104,37,2,1,0,0,2,6,,storytr01
17,Danny Jansen,29,C,0.1,30,96,80,8,15,0,0,3,6,0,0,15,19,.188,.323,.300,.623,78,.307,90,24,3,1,0,0,0,2/HD,,janseda01
18,Bobby Dalbec,29,CI,-0.8,37,93,83,6,11,2,0,1,8,3,0,8,43,.133,.217,.193,.410,18,.196,4,16,1,1,1,0,0,35/H9D,,dalbebo01
19,Nick Sogard#,26,IF,0.3,31,86,77,13,21,4,0,0,8,3,0,7,25,.273,.326,.325,.650,85,.299,79,25,4,0,0,2,0,4/65H3,,sogarni01
20,Garrett Cooper,33,1B,-0.9,24,75,70,3,12,4,0,0,5,0,0,3,22,.171,.227,.229,.455,30,.207,19,16,2,2,0,0,0,3/DH,,coopega03
21,Pablo Reyes,30,IF,-0.7,21,64,60,4,11,2,0,0,5,1,2,3,19,.183,.234,.217,.451,29,.196,20,13,1,1,0,0,0,5/436H1,,reyespa01
22,Jamie Westbrook,29,2B,-0.1,21,48,40,4,6,2,0,2,7,0,0,4,14,.150,.234,.350,.584,62,.271,63,14,0,1,0,2,0,4/H59D,,westbja02
23,Mickey Gasper#,28,IF,-0.2,13,23,18,1,0,0,0,0,0,0,0,4,8,.000,.217,.000,.217,-30,.151,-22,0,1,1,0,0,0,/4HD3,,gaspemi01
24,Zack Short,29,IF,-0.2,2,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,.000,-130,0,0,0,0,0,0,/45,,shortza01
25,Tyler Heineman#,33,DH,0.1,2,3,2,0,0,0,0,0,0,0,0,0,1,.000,.333,.000,.333,7,.239,41,0,0,1,0,0,0,/2D,,heinety01
26,Josh Winckowski,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,winckjo01
27,Chris Martin,38,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,martich02
28,Chase Shugart*,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,shugach01
